instrument,facility,hemisphere,wave_min_nm,wave_max_nm,resolving_power,spectral_domain,status,status_as_of,performance_class,reported_performance,primary_reference,status_source
HARPS,ESO 3.6-m La Silla,south,378,691,120000,optical,operational_with_caveat,2026-07-03,on_sky_stability,"Long-running facility instrument; a major 2026 detector/fibre/pipeline upgrade introduced an offset requiring continuity calibration",https://www.eso.org/sci/facilities/lasilla/instruments/harps/inst/description.html,https://www.eso.org/sci/facilities/lasilla/instruments/harps/news.html
HARPS-N,Telescopio Nazionale Galileo,north,383,693,115000,optical,operational,2026-09-02,on_sky_stability,"Solar and stellar time series demonstrate sub-m/s analysis capability, but the achieved scatter remains target- and pipeline-dependent",https://doi.org/10.1051/0004-6361/202039350,https://www.tng.iac.es/instruments/harps/
ESPRESSO,ESO Very Large Telescope,south,380,788,140000,optical,operational,2026-09-02,on_sky_stability,"On-sky instrument paper reports mode-dependent performance; design and calibration terms must not be conflated with stellar RV scatter",https://doi.org/10.1051/0004-6361/202038306,https://www.eso.org/sci/facilities/paranal/instruments/espresso/overview.html
EXPRES,Lowell Discovery Telescope,north,380,780,137500,optical,operational,2026-09-02,laboratory_calibration,"Instrument calibration precision below 0.10 m/s was reported, explicitly excluding photon noise and stellar variability",https://doi.org/10.3847/1538-3881/ab811d,https://lowell.edu/research/telescopes-and-facilities/ldt/extreme-precision-spectrometer-expres/
NEID,WIYN 3.5-m,north,380,930,112000,optical,operational,2026-09-02,on_sky_stability,"Official commissioning material reports quiet-star variability below 1 m/s and a tau Ceti sequence below 0.5 m/s; this is not a universal floor",https://arxiv.org/abs/2307.12403,https://neid.psu.edu/
KPF,Keck I,north,445,870,98000,optical,offline,2026-09-02,commissioning_report,"Short-term performance exceeded a 0.5 m/s target, but current long-term interpretation is limited by detector thermal events and a 2026 vacuum-pump failure",https://authors.library.caltech.edu/records/gn5gn-t9r95,https://www2.keck.hawaii.edu/realpublic/observing/public_instrument_info/kpf/status/
CARMENES,Calar Alto 3.5-m,north,520,1710,93400,optical_and_near_infrared,operational,2026-09-02,on_sky_stability,"Dual VIS/NIR channels enable chromatic activity diagnosis; channel resolutions and RV information content differ",https://carmenes.caha.es/ext/conferences/CARMENES_SPIE2016_Quirrenbach.pdf,https://www.caha.es/CAHA/Instruments/CARMENES/
HPF,Hobby-Eberly Telescope,north,810,1280,55000,near_infrared,operational,2026-09-02,design_requirement,"Cryogenic NIR design targets M dwarfs; published performance depends strongly on telluric masking, calibration, and stellar type",https://arxiv.org/abs/1209.1686,https://hpf.psu.edu/
SOPHIE+,Observatoire de Haute-Provence 1.93-m,north,387,694,75000,optical,operational,2026-09-02,on_sky_stability,"The 2011 octagonal-fibre upgrade reduced illumination-driven errors; the published 1–2 m/s result is not a universal precision floor",https://doi.org/10.1051/0004-6361/201219979,http://www.obs-hp.fr/guide/sophie/sophie-eng.shtml
APF-Levy,Automated Planet Finder 2.4-m,north,374,970,110000,optical,operational,2026-09-02,on_sky_stability,"An automated high-cadence facility; the survey median internal uncertainty and selected standard-star RMS describe different tests",https://doi.org/10.1086/676120,https://apf.ucolick.org/intro.html
