claim_id,instrument,metric,value_mps,comparison,measurement_context,target_or_sample,baseline,reported_result,caveat,source_url,doi,accessed
PERF-001,HARPS,single_measurement_uncertainty,1.0,approximately,commissioning stellar exposure,V=8 G6V star,one minute,"Approximately 1 m/s uncertainty at S/N 45","Commissioning example; not long-term repeatability",https://www.hq.eso.org/public/news/eso0308/,,2026-09-02
PERF-002,HARPS-N,solar_daily_scatter,1.07,equals,on-sky solar time series,Sun-as-a-star,three years,"Day-to-day scatter after wavelength-solution improvements was 1.07 m/s","Solar variability and pipeline choices remain in the statistic",https://www.aanda.org/articles/aa/full_html/2021/04/aa39350-20/aa39350-20.html,10.1051/0004-6361/202039350,2026-09-02
PERF-003,SOPHIE+,stellar_repeatability,2.0,upper_bound,on-sky standard-star sequences,RV-stable stars,post-2011 upgrade,"Published repeatability improved from 5–6 m/s to 1–2 m/s","Target sample and cadence differ from other rows",https://www.aanda.org/articles/aa/pdf/2013/01/aa19979-12.pdf,10.1051/0004-6361/201219979,2026-09-02
PERF-004,APF-Levy,median_internal_uncertainty,1.35,equals,on-sky survey,80 stars and 4954 velocities,600 observing hours,"Median internal uncertainty was 1.35 m/s","Internal uncertainty is not the RMS of a constant star",https://arxiv.org/abs/1511.03664,,2026-09-02
PERF-005,ESPRESSO,photon_noise_uncertainty,0.10,approximately,on-sky high-SNR spectra,M stars at S/N about 430,single exposure,"Photon-noise uncertainty reached about 0.10 m/s for M stars","Internal photon limit; excludes stellar and long-term systematics",https://www.aanda.org/articles/aa/pdf/2021/01/aa38306-20.pdf,10.1051/0004-6361/202038306,2026-09-02
PERF-006,EXPRES,calibration_precision,0.10,upper_bound,subsystem calibration validation,calibration sources,short-term tests,"Calibration precision below 0.10 m/s was reported","Explicitly excludes photon noise and stellar variability",https://doi.org/10.3847/1538-3881/ab811d,10.3847/1538-3881/ab811d,2026-09-02
PERF-007,EXPRES,planet_fit_residual_rms,0.895,equals,on-sky stellar time series,51 Peg,commissioning dataset,"Residual RMS around the fitted known planet was 0.895 m/s","Includes target and model choices; not an instrument floor",https://arxiv.org/abs/2003.08851,,2026-09-02
PERF-008,CARMENES,median_internal_uncertainty,1.6,equals,on-sky survey,CARMENES survey targets,18642 VIS measurements,"Median internal precision was 1.6 m/s at median S/N 95","VIS-channel survey statistic; target dependent",https://www.aanda.org/articles/aa/pdf/2024/12/aa50836-24.pdf,10.1051/0004-6361/202450836,2026-09-02
PERF-009,iSHELL,stellar_rv_precision,5.0,equals,on-sky gas-cell analysis,Barnard's Star and 61 Cygni A,approximately one year,"Precision of 5 m/s was demonstrated over about one year; GJ 15 A reached 3 m/s over one month","Results depend on target and baseline",https://www.ipac.caltech.edu/publication/2019AJ....158..170C,10.3847/1538-3881/ab3b0f,2026-09-02
PERF-010,IRD,internal_uncertainty,2.0,upper_bound,on-sky forward modelling,bright slowly rotating mid-to-late M dwarfs,S/N at least 100 per pixel,"Internal precision below 2 m/s was demonstrated","Internal precision under stated target and S/N conditions",https://academic.oup.com/pasj/article/72/6/93/5903842,10.1093/pasj/psaa085,2026-09-02
PERF-011,HPF,stellar_rms,1.5,approximately,on-sky stability sequence,Barnard's star,86 days,"Commissioning report gives about 1.5 m/s stability","Includes star and reduction; not universal",https://hpf.psu.edu/2019/02/19/hpf-commissioning/,,2026-09-02
PERF-012,PFS,stellar_rms,1.0,upper_bound,on-sky commissioning,RV standard stars,first five months,"Commissioning report states better than 1 m/s RMS","Early instrument configuration; later resolution upgrade",https://carnegiescience.edu/carnegie-planet-finder-spectrograph-integration-and-commissioning,10.1117/12.857792,2026-09-02
PERF-013,SPIRou,stellar_rms,2.0,approximately,on-sky standard-star observations,RV standard stars,several weeks,"Standard-star RMS was about 2 m/s","Photon uncertainty near 0.5 m/s did not equal observed RMS",https://academic.oup.com/mnras/article/498/4/5684/5897365,10.1093/mnras/staa2569,2026-09-02
PERF-014,PARVI,intranight_rms,10.0,range_upper,on-sky commissioning,HD 189733,individual nights,"Intra-night stability ranged from 4 to 10 m/s","Commissioning result; design goal near 1 m/s was not achieved in this test",https://doi.org/10.1117/1.JATIS.9.3.038006,10.1117/1.JATIS.9.3.038006,2026-09-02
PERF-015,MAROON-X,short_term_floor,0.30,approximately,on-sky instrument performance,selected late-type stars,short-term,"Short-term instrumental floor near 0.30 m/s and regular sub-m/s performance were reported","Selected targets and short baseline",https://arxiv.org/abs/2210.06563,,2026-09-02
PERF-016,NEID,solar_rms,0.41,equals,on-sky solar feed,Sun-as-a-star,best-condition subset over four months,"Best-condition solar RMS was 0.41 m/s; good-sky result was 0.66 m/s","Commissioning solar subset, not stellar long-term floor",https://arxiv.org/abs/2112.05711,,2026-09-02
PERF-017,KPF,single_visit_requirement,0.50,equals,engineering requirement,not applicable,not applicable,"Single-visit requirement is 0.50 m/s; goal is 0.30 m/s","Requirement, not achieved performance",https://www2.keck.hawaii.edu/inst/kpf/KPFvsHIRES/,,2026-09-02
PERF-018,PARAS-2,standard_star_daily_dispersion,2.65,equals,on-sky standard-star sequence,RV standard star,37 observations over 35 days,"Daily dispersion was 2.65 m/s","Different from the 0.20–0.50 m/s off-sky inter-fibre drift",https://www.aanda.org/articles/aa/pdf/2024/11/aa50934-24.pdf,10.1051/0004-6361/202450934,2026-09-02
PERF-019,NIRPS,commissioning_accuracy,1.0,upper_bound,on-sky commissioning,selected stars,first-light programme,"First-light analysis reported accuracy better than 1 m/s","Early commissioning result; sample and timescale limited",https://arxiv.org/abs/2406.08304,,2026-09-02
PERF-020,HARPS3,design_goal,0.10,equals,design requirement,not applicable,not applicable,"Design goal is 0.10 m/s","Commissioning in 2026; no achieved on-sky result entered",https://www.terrahunting.org/harps3.html,,2026-09-02
PERF-021,ANDES,design_goal,0.10,equals,design requirement,not applicable,not applicable,"Goal wavelength precision is 0.10 m/s","Planned instrument; not achieved",https://elt.eso.org/instrument/ANDES/,,2026-09-02
PERF-022,G-CLEF,design_requirement,0.10,equals,design requirement,not applicable,not applicable,"Top-level precision specification is 0.10 m/s","Planned instrument; not achieved",https://www.gmto.org/instrument/g-clef/,,2026-09-02
