paper_id,year,title,authors_short,paper_type,what_was_studied,numerical_result,remaining_question,source_url,reviewed_on
EXP-2016-DESIGN,2016,EXPRES: A Next Generation RV Spectrograph in the Search for Earth-like Worlds,Jurgenson et al.,instrument design,"Error budget, optomechanical design, environmental control, image stabilization and calibration",15 cm/s instrument design target; better than 30 cm/s intended on-sky precision,A design target is not achieved long-term stellar precision,https://arxiv.org/abs/1606.04413,2026-09-07
EXP-2019-TELLURIC,2019,Towards a Self-calibrating Empirical Light-Weight Model for Tellurics in High-Resolution Spectra,Leet et al.,method,"SELENITE empirical telluric identification and fitting",1.0% continuum residuals for B stars and 1.1% for K dwarfs in the reported tests,Residual telluric structure must be translated into wavelength-dependent RV impact,https://arxiv.org/abs/1903.08350,2026-09-07
EXP-2020-PERFORMANCE,2020,Performance Verification of the EXtreme PREcision Spectrograph,Blackman et al.,instrument validation,"Laboratory and on-sky tests of calibration, illumination, detector and observing subsystems",Better than 10 cm/s single-measurement instrument calibration precision in the stated test,The number excludes photon noise and stellar variability and is not an end-to-end stellar floor,https://arxiv.org/abs/2003.08852,2026-09-07
EXP-2020-PIPELINE,2020,An Extreme-Precision Radial-Velocity Pipeline: First Radial Velocities from EXPRES,Petersburg et al.,reduction pipeline,"Flat-relative extraction, chromatic barycentric correction, calibration offsets and template matching",0.3 m/s formal error at per-pixel S/N 250; 0.895 m/s residual RMS for 51 Peg,Commissioning-target residuals mix instrument star sampling and model choices,https://arxiv.org/abs/2003.08851,2026-09-07
EXP-2020-HD3651,2020,EXPRES I. HD 3651 an Ideal RV Benchmark,Brewer et al.,on-sky validation,"Recovery of the known 62-day Saturn-mass planet with high-cadence EXPRES observations",58 cm/s residual RMS over roughly six months,A quiet benchmark over six months does not establish multi-year stability for all targets,https://arxiv.org/abs/2006.02303,2026-09-07
EXP-2020-ESSP1,2020,The EXPRES Stellar-Signals Project I. Description of Data,Zhao et al.,data release,"Common spectroscopic, radial-velocity, activity-indicator and photometric data for four stars",Four named stellar data sets released for method comparison,The note defines a comparison resource rather than selecting a winning activity model,https://doi.org/10.3847/2515-5172/abb8d0,2026-09-07
EXP-2020-ATMOSPHERE,2020,High-resolution Transmission Spectroscopy of MASCARA-2 b with EXPRES,Hoeijmakers et al.,science application,"Cross-correlation transmission spectroscopy with early EXPRES transit observations",Fe I Fe II Na I Mg I and Cr II reported; projected obliquity 1.6 plus or minus 3.1 degrees,Atmospheric cross-correlation detections do not measure long-term Doppler stability,https://arxiv.org/abs/2004.08415,2026-09-07
EXP-2021-EXCALIBUR,2021,Excalibur: A Non-Parametric Hierarchical Wavelength-Calibration Method for a Precision Spectrograph,Zhao et al.,wavelength calibration,"Low-dimensional non-parametric modelling of laser-frequency-comb wavelength solutions",Calibration residual RMS about five times lower; HD 34411 RMS changed from 1.17 to 1.05 m/s in the reported comparison,The modest stellar-RMS change shows that calibration is only one term in the full error budget,https://arxiv.org/abs/2010.13786,2026-09-07
EXP-2022-ESSP2,2022,The EXPRES Stellar Signals Project II. State of the Field in Disentangling Photospheric Velocities,Zhao et al.,method comparison,"Twenty-two stellar-activity mitigation methods applied to common EXPRES data",Nearly all improved on classic linear decorrelation; none consistently produced sub-m/s RMS,Unknown ground truth and disagreement between methods require signal-preservation tests,https://arxiv.org/abs/2201.10639,2026-09-07
EXP-2023-SOLAR,2023,The Extreme Stellar-Signals Project III. Combining Solar Data from HARPS HARPS-N EXPRES and NEID,Zhao et al.,cross-instrument validation,"Simultaneous Sun-as-a-star velocities from four stabilized spectrographs",15 to 30 cm/s residual intra-day inter-instrument scatter,Intra-day agreement does not by itself establish multi-year absolute accuracy,https://arxiv.org/abs/2309.03762,2026-09-07
EXP-2024-RC,2024,Quiet Please: Detrending Radial Velocity Variations from Stellar Activity with a Physically Motivated Spot Model,Siegel et al.,stellar-activity method,"Rotation-Convection model tested with solar and HD 26965 observations including EXPRES",Activity was reduced to the m/s level for HD 26965 across HARPS EXPRES and NEID,Planet preservation and transfer to stars with different activity patterns remain to be established,https://arxiv.org/abs/2408.07121,2026-09-07
EXP-2026-SYSTEMATICS,2026,Uncovering Hidden Systematics in Extreme-Precision Radial Velocity Measurements,Zhao et al.,long-term instrument study,"Seven years of EXPRES data, two-dimensional echellogram diagnostics, comb-line shapes and telemetry",2.8 m/s trough-to-peak drift; solar trend RMS 1.32 to 0.43 m/s; 26% lower scatter across 12 quiet stars,Corrections need era-aware out-of-sample validation and explicit planet-signal preservation checks,https://arxiv.org/abs/2601.02296,2026-09-07
EXP-2026-FACTOR,2026,A linearized approach to radial-velocity extraction II: shot-noise-limited precision via spectral factorization,Shahaf and Zackay,spectral extraction,"Short-time Fourier factorization tested on simulations and EXPRES HD 34411 and tau Ceti spectra",Approximately 30 cm/s instrumental precision and sensitivity to about 50 cm/s semi-amplitudes in the reported tests,The method returns relative velocities and requires broader independent validation,https://doi.org/10.1093/mnras/stag334,2026-09-07
